Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
2008,B11CB,10/17/2009,11:00 AM,NWK-Riverbank,1111,Maroons-B11CB-Whalen,1369,Ironbound-B11CB-Gigante
2007,B11CB,10/17/2009,9:15 AM,WALD-HSTurf-1,1030,Torpedoes-B11CB-Print,981,Warriors-B11CB-Reynolds
2010,B11CB,10/24/2009,3:30 PM,BAY-HudCtyPk-QuadE,1111,Maroons-B11CB-Whalen,958,Bayonnne-B11CB-Alcantara
2012,B11CB,10/24/2009,11:00 AM,RYSA-FAMS,1369,Ironbound-B11CB-Gigante,1180,RYSA-B11CB-Baker
2013,B11CB,10/24/2009,1:15 PM,TORP-Lincoln,1443,Nutley-B11CB-Geltrude,1030,Torpedoes-B11CB-Print
2011,B11CB,10/24/2009,1:00 PM,WALD-TraphagenFull,1252,Americans-B11CB-Khanna,981,Warriors-B11CB-Reynolds
2014,B11CB,10/31/2009,3:00 PM,BAY-HudCtyPk-QuadE,981,Warriors-B11CB-Reynolds,958,Bayonnne-B11CB-Alcantara
2016,B11CB,10/31/2009,9:15 AM,MAR-GlenSchool,1252,Americans-B11CB-Khanna,1111,Maroons-B11CB-Whalen
2017,B11CB,10/31/2009,3:45 PM,NUT-FatherGlotzbach,1369,Ironbound-B11CB-Gigante,1443,Nutley-B11CB-Geltrude
2015,B11CB,10/31/2009,10:30 AM,TORP-PulisA,1180,RYSA-B11CB-Baker,1030,Torpedoes-B11CB-Print
2018,B11CB,11/7/2009,10:45 AM,MAR-BenFranklinMS1,981,Warriors-B11CB-Reynolds,1111,Maroons-B11CB-Whalen
2021,B11CB,11/7/2009,9:00 AM,RYSA-FAMS,1443,Nutley-B11CB-Geltrude,1180,RYSA-B11CB-Baker
2019,B11CB,11/7/2009,12:00 AM,TBS(V),1252,Americans-B11CB-Khanna,958,Bayonnne-B11CB-Alcantara
2020,B11CB,11/7/2009,9:00 AM,TORP-PulisA,1369,Ironbound-B11CB-Gigante,1030,Torpedoes-B11CB-Print
2022,B11CB,11/14/2009,10:30 AM,AMER-StLuke,1030,Torpedoes-B11CB-Print,1252,Americans-B11CB-Khanna
2025,B11CB,11/14/2009,3:30 PM,BAY-HudCtyPk-QuadE,1369,Ironbound-B11CB-Gigante,958,Bayonnne-B11CB-Alcantara
2023,B11CB,11/14/2009,2:00 PM,NUT-FatherGlotzbach,1111,Maroons-B11CB-Whalen,1443,Nutley-B11CB-Geltrude
2024,B11CB,11/14/2009,2:00 PM,WALD-HSTurf-1,1180,RYSA-B11CB-Baker,981,Warriors-B11CB-Reynolds
2028,B11CB,11/21/2009,10:45 AM,NWK-Riverbank,1252,Americans-B11CB-Khanna,1369,Ironbound-B11CB-Gigante
2027,B11CB,11/21/2009,11:00 AM,RYSA-FAMS,1111,Maroons-B11CB-Whalen,1180,RYSA-B11CB-Baker
2026,B11CB,11/21/2009,1:15 PM,TORP-CommunityPk,958,Bayonnne-B11CB-Alcantara,1030,Torpedoes-B11CB-Print
2029,B11CB,11/21/2009,1:30 PM,WALD-HSTurf-1,1443,Nutley-B11CB-Geltrude,981,Warriors-B11CB-Reynolds
2032,B11CW,9/12/2009,12:00 PM,NWK-Riverbank,1393,Fair Lawn-B11CW-Machuca,1126,Ironbound-B11CW-Fernandes
2031,B11CW,9/12/2009,1:30 PM,RDBH-MS-Lg,1298,RamapoValley-B11CW-Ramon,890,RiverDell-B11CW-Solinas
2033,B11CW,9/12/2009,12:00 AM,TBS(H),1504,DenofLions-B11CW-Cunha,1117,CougarSC-B11CW-Majtyka
2030,B11CW,9/12/2009,2:30 PM,VERONA-Centennial,1188,Vikings-B11CW-Pialtos,1496,Verona-B11CW-Tosh
