Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH,Type
1001,B08B,09/10/2016,09:00 AM,NoVAL-Chestnut,14167,Maroons-Dowling-BU08B,13755,NoValley-Sin-BU08B,L
1002,B08B,09/10/2016,12:30 PM,MAR-MapleParkWestSm,14610,Clarkstown-Torres-BU08A,14173,Maroons-Grassi-BU08B,L
1003,B08B,09/10/2016,04:30 PM,HOB-SinatraPkSouth,13970,Torpedoes-Petruzzi-BU08B,14682,Hoboken-DeCock-BU08B,L
1004,B08B,09/10/2016,04:30 PM,NY-WC-SmTurf6,14421,WorldClassFC-Leone-BU08B,14422,WorldClassFC-Niziolek-BU08B,L
1005,B08B,09/17/2016,03:00 PM,NY-WC-SmTurf6,14682,Hoboken-DeCock-BU08B,14421,WorldClassFC-Leone-BU08B,L
1006,B08B,09/17/2016,01:00 PM,MAR-MapleParkEastSm,14422,WorldClassFC-Niziolek-BU08B,14167,Maroons-Dowling-BU08B,L
1007,B08B,09/17/2016,03:30 PM,NY-CLARK-KennedyPk3,13755,NoValley-Sin-BU08B,14610,Clarkstown-Torres-BU08A,L
1008,B08B,09/17/2016,01:00 PM,TORP-Pulis2,14173,Maroons-Grassi-BU08B,13970,Torpedoes-Petruzzi-BU08B,L
1009,B08B,09/24/2016,01:30 PM,NY-WC-SmTurf6,14610,Clarkstown-Torres-BU08A,14422,WorldClassFC-Niziolek-BU08B,L
1010,B08B,09/24/2016,02:30 PM,TORP-Pulis2,14421,WorldClassFC-Leone-BU08B,13970,Torpedoes-Petruzzi-BU08B,L
1011,B08B,09/24/2016,12:30 PM,MAR-MapleParkWestSm,14682,Hoboken-DeCock-BU08B,14167,Maroons-Dowling-BU08B,L
1012,B08B,09/24/2016,12:00 AM,F1,13755,NoValley-Sin-BU08B,14173,Maroons-Grassi-BU08B,L
1013,B08B,10/01/2016,10:30 AM,MAR-OrchardSchool,13970,Torpedoes-Petruzzi-BU08B,14167,Maroons-Dowling-BU08B,L
1014,B08B,10/01/2016,03:00 PM,HOB-1600,14610,Clarkstown-Torres-BU08A,14682,Hoboken-DeCock-BU08B,L
1015,B08B,10/01/2016,03:00 PM,NY-WC-SmTurf6,14173,Maroons-Grassi-BU08B,14421,WorldClassFC-Leone-BU08B,L
1016,B08B,10/01/2016,04:30 PM,NY-WC-SmTurf6,13755,NoValley-Sin-BU08B,14422,WorldClassFC-Niziolek-BU08B,L
1017,B08B,10/15/2016,12:00 AM,F1,14422,WorldClassFC-Niziolek-BU08B,14173,Maroons-Grassi-BU08B,L
1018,B08B,10/15/2016,03:00 PM,HOB-SinatraPkNorth,13755,NoValley-Sin-BU08B,14682,Hoboken-DeCock-BU08B,L
1019,B08B,10/15/2016,01:00 PM,TORP-Pulis2,14610,Clarkstown-Torres-BU08A,13970,Torpedoes-Petruzzi-BU08B,L
1020,B08B,10/15/2016,03:00 PM,NY-WC-SmTurf6,14167,Maroons-Dowling-BU08B,14421,WorldClassFC-Leone-BU08B,L
1021,B08B,10/22/2016,09:00 AM,NoVAL-Northvale,13970,Torpedoes-Petruzzi-BU08B,13755,NoValley-Sin-BU08B,L
1022,B08B,10/22/2016,12:00 AM,F1,14173,Maroons-Grassi-BU08B,14167,Maroons-Dowling-BU08B,L
1023,B08B,10/22/2016,06:00 PM,NY-WC-SmTurf6,14682,Hoboken-DeCock-BU08B,14422,WorldClassFC-Niziolek-BU08B,L
1024,B08B,10/22/2016,10:30 AM,NY-CLARK-KennedyPk3,14421,WorldClassFC-Leone-BU08B,14610,Clarkstown-Torres-BU08A,L
1025,B08B,10/29/2016,12:00 AM,F1,14682,Hoboken-DeCock-BU08B,14173,Maroons-Grassi-BU08B,L
