Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH,Type
4069,G09DB,10/02/2016,09:00 AM,TORP-Pulis1,14382,Spartan-Giugliano-GU09D,14056,Torpedoes-Hupart-GU09DB,
4070,G09DB,10/02/2016,10:30 AM,RYSA-HighMtn,14474,SaddleBR-Kedersha-GU09DB,14169,RYSA-Frederick-GU09D,
4071,G09DB,10/02/2016,04:30 PM,NY-WC-SmTurf6,14449,Dragons-Dempsey-GU09D,14530,WorldClassFC-JeanCharles-GU09C,
4072,G09DB,10/16/2016,01:00 PM,SaddleBR-VeteransFd3,14309,Maroons-Wilday-GU09D,14474,SaddleBR-Kedersha-GU09DB,
4073,G09DB,10/16/2016,12:00 PM,DRAG-JessieGeoSch,14169,RYSA-Frederick-GU09D,14449,Dragons-Dempsey-GU09D,
4074,G09DB,10/16/2016,03:00 PM,AVIA-Wright/Teterbor,14530,WorldClassFC-JeanCharles-GU09C,14311,Aviators-Karcic-GU09D,
4075,G09DB,10/16/2016,09:30 AM,VERONA-Liberty,14056,Torpedoes-Hupart-GU09DB,13807,Verona-DiNatale-GU09D,
4076,G09DB,10/16/2016,09:00 AM,SPAR-WestbrkSmall,14194,RiverDell-Marchetti-GU09DB,14382,Spartan-Giugliano-GU09D,
4077,G09DB,10/23/2016,04:30 PM,NY-WC-SmTurf6,13866,Lvngstn-Bierman-GU09D,14530,WorldClassFC-JeanCharles-GU09C,
4078,G09DB,10/23/2016,09:00 AM,RDBH-Roosevelt,13807,Verona-DiNatale-GU09D,14194,RiverDell-Marchetti-GU09DB,
4079,G09DB,10/23/2016,01:00 PM,MAR-MapleParkEastSm,14449,Dragons-Dempsey-GU09D,14309,Maroons-Wilday-GU09D,
4080,G09DB,10/23/2016,01:30 PM,TORP-Pulis2,14474,SaddleBR-Kedersha-GU09DB,14056,Torpedoes-Hupart-GU09DB,
4081,G09DB,10/23/2016,10:30 AM,RYSA-HighMtn,14311,Aviators-Karcic-GU09D,14169,RYSA-Frederick-GU09D,
4082,G09DB,10/30/2016,10:30 AM,VERONA-Liberty,14382,Spartan-Giugliano-GU09D,13807,Verona-DiNatale-GU09D,
4083,G09DB,10/30/2016,01:00 PM,SaddleBR-VeteransFd3,14194,RiverDell-Marchetti-GU09DB,14474,SaddleBR-Kedersha-GU09DB,
4084,G09DB,10/30/2016,10:15 AM,LIVING-MtPleasant1,14169,RYSA-Frederick-GU09D,13866,Lvngstn-Bierman-GU09D,
4085,G09DB,10/30/2016,03:15 PM,AVIA-Wright/Teterbor,14309,Maroons-Wilday-GU09D,14311,Aviators-Karcic-GU09D,
4086,G09DB,10/30/2016,12:00 PM,DRAG-JessieGeoSch,14056,Torpedoes-Hupart-GU09DB,14449,Dragons-Dempsey-GU09D,
4087,G09DB,11/06/2016,09:00 AM,RDBH-Roosevelt,14449,Dragons-Dempsey-GU09D,14194,RiverDell-Marchetti-GU09DB,
4088,G09DB,11/06/2016,10:30 AM,TORP-Pulis2,14311,Aviators-Karcic-GU09D,14056,Torpedoes-Hupart-GU09DB,
4089,G09DB,11/06/2016,10:30 AM,SPAR-WestbrkSmall,14474,SaddleBR-Kedersha-GU09DB,14382,Spartan-Giugliano-GU09D,
4090,G09DB,11/06/2016,10:30 AM,RYSA-HighMtn,14530,WorldClassFC-JeanCharles-GU09C,14169,RYSA-Frederick-GU09D,
4091,G09DB,11/06/2016,09:30 AM,MAR-OrchardSchool,13866,Lvngstn-Bierman-GU09D,14309,Maroons-Wilday-GU09D,
4092,G09DB,11/13/2016,12:00 AM,TBS (H),14056,Torpedoes-Hupart-GU09DB,13866,Lvngstn-Bierman-GU09D,
4093,G09DB,11/13/2016,12:00 PM,DRAG-JessieGeoSch,14382,Spartan-Giugliano-GU09D,14449,Dragons-Dempsey-GU09D,
4094,G09DB,11/13/2016,01:30 PM,AVIA-Wright/Teterbor,14194,RiverDell-Marchetti-GU09DB,14311,Aviators-Karcic-GU09D,
4095,G09DB,11/13/2016,12:00 AM,TBS (V),14309,Maroons-Wilday-GU09D,14530,WorldClassFC-JeanCharles-GU09C,
4096,G09DB,11/13/2016,02:00 PM,SaddleBR-VeteransFd3,13807,Verona-DiNatale-GU09D,14474,SaddleBR-Kedersha-GU09DB,
4097,G09DB,11/20/2016,09:00 AM,MAR-OrchardSchool,14169,RYSA-Frederick-GU09D,14309,Maroons-Wilday-GU09D,
4098,G09DB,11/20/2016,01:30 PM,TORP-Pulis1,14530,WorldClassFC-JeanCharles-GU09C,14056,Torpedoes-Hupart-GU09DB,
4099,G09DB,11/20/2016,01:00 PM,VERONA-Liberty,14449,Dragons-Dempsey-GU09D,13807,Verona-DiNatale-GU09D,
4100,G09DB,11/20/2016,09:00 AM,RDBH-Roosevelt,13866,Lvngstn-Bierman-GU09D,14194,RiverDell-Marchetti-GU09DB,
4101,G09DB,11/20/2016,10:30 AM,SPAR-WestbrkSmall,14311,Aviators-Karcic-GU09D,14382,Spartan-Giugliano-GU09D,
4102,G09DW,09/11/2016,12:00 AM,TBS (B),14058,Rutherford-Hansen-GU09D,14533,WOrange-Pannucci-GU09DW,
4103,G09DW,09/11/2016,12:00 AM,TBS (H),13762,NoValley-Massaro-GU09D,14588,Montclair-Porter-GU09DW,
4104,G09DW,09/11/2016,01:00 PM,TEN-Municipal,13847,GlenRock-Hendl-GU09D,14095,Tenafly-Gonzalez-GU09DW,
4105,G09DW,09/11/2016,12:45 PM,NUT-FatherGlotzbach2,14705,Hoboken-Sotto -GU09DW,14236,Nutley-Hess-GU09D,
