GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
11071,2658,B14C,04/26/2009,09:00 AM,MAHWAH-CSF,31,Torpedoes-B14C-Rampone,366,Mahwah-B14C-Garino
8555,4130,G13A,04/26/2009,07:00 PM,MAHWAH-CSF,526,Clifton-G13A-Celestin,296,Mahwah-G13A-Jordan
8168,3743,G11A,04/26/2009,08:00 AM,MAHWAH-Fardale,725,Clarkstown-G11A-Charles,290,Mahwah-G11A-Gilmour
7557,3011,B19C,04/26/2009,09:00 AM,MAHWAH-HS,724,Maroons-B19C-Coopersmith,172,Mahwah-B19C-Wohl
9084,4659,G19CW,04/26/2009,11:00 AM,MAHWAH-HS,59,Torpedoes-G19CW-Ritter,737,Mahwah-G19CW-Angelo
11030,2617,B14B,04/26/2009,01:00 PM,MAHWAH-HS,268,WayneSC-B14B-Smyth,376,Mahwah-B14B-Coates
10846,2431,B13C,04/26/2009,07:15 PM,MAHWAH-HS,539,Montclair-B13C-Knight,369,Mahwah-B13C-Patel
10485,2067,B11E,04/26/2009,02:30 PM,MAHWAH-NorthFld,635,CougarSC-B11E-Romanaux,377,Mahwah-B11E-Tevis
8415,3990,G12C,04/26/2009,04:15 PM,MAHWAH-NorthFld,744,CougarUtd-G12C-Savill,289,Mahwah-G12C-Cassidy
8088,3663,G10E,04/26/2009,03:00 PM,TBS(H),723,Clarkstown-G10E-Johnston,292,Mahwah-G10E-Reckseit
9197,3038,G08A,04/26/2009,12:00 PM,TBS(V),392,Americans-G08A-Leahy,298,Mahwah-G08A-Jordan
7909,3484,G10AW,04/26/2009,02:00 PM,TBS(V),611,Arsenal-G10AW-Witt,297,Mahwah-G10AW-Jordan
