GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
219612,3739,B15C,09/11/2016,01:00 PM,ARS-PVHS1,14317,JustOne-B15C-Rodriguez,14326,Arsenal-B15C-Schneider
219628,3755,B15C,10/02/2016,12:00 PM,ARS-PVHS1,14543,Rockland-B15C-Likos,14326,Arsenal-B15C-Schneider
219635,3762,B15C,10/23/2016,02:00 PM,ARS-PVHS1,14092,CougarSC-B15C-Siskind,14326,Arsenal-B15C-Schneider
219646,3773,B15C,11/06/2016,12:00 AM,TBS (V),13932,FairLawnAllSports-B15C-Talman,14326,Arsenal-B15C-Schneider
219656,3783,B15C,11/20/2016,02:00 PM,ARS-PVHS1,14668,Leonia-B15C-Safari,14326,Arsenal-B15C-Schneider
