GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
10054,1633,B10BW,05/09/2009,09:30 AM,NY-CLARK-KennedyPk3,631,CougarSC-B10BW-Majtyka,714,Clarkstown-B10BW-Hodge
8746,4321,G13DW,05/10/2009,12:00 PM,NY-CLARK-KennedyPk1,554,Montclair-G13DW-Montgomery,730,Clarkstown-G13DW-Fitzgerald
8564,4139,G13A,05/10/2009,02:00 PM,NY-CLARK-KennedyPk1,225,Hotspur-G13A-Kammerer,729,Clarkstown-G13A-Rolston
10611,2194,B12CB,05/10/2009,10:00 AM,NY-CLARK-KennedyPk2,272,Bergenfield-B12CB-Rabboh,819,Clarkstown-B12CB-Green
10360,1941,B11BW,05/10/2009,12:00 PM,NY-CLARK-KennedyPk2,166,Warriors-B11BW-Neugebauer,715,Clarkstown-B11BW-Torres
8349,3924,G12A,05/10/2009,02:00 PM,NY-CLARK-KennedyPk2,42,Torpedoes-G12A-Moran,727,Clarkstown-G12A-Dempsey
10535,2118,B12A,05/10/2009,04:00 PM,NY-CLARK-KennedyPk2,210,Hotspur-B12A-Saalfrank,716,Clarkstown-B12A-Yassky
9713,1289,B09A,05/10/2009,10:00 AM,NY-CLARK-OutdoorEdu,589,Arsenal-B09A-Tambi,713,Clarkstown-B09A-Rolston
10782,2367,B13A,05/15/2009,06:30 PM,NY-CLARK-KennedyPk2,433,NoValley-B13A-OReilly,745,Clarkstown-B13A-Charles
8329,3904,G12A,05/16/2009,10:00 AM,NY-CLARK-KennedyPk2,398,Americans-G12A-Perrin,727,Clarkstown-G12A-Dempsey
9714,1290,B09A,05/17/2009,09:30 AM,NY-CLARK-OutdoorEdu,521,Montclair-B09A-Duncan,713,Clarkstown-B09A-Rolston
8099,3674,G10E,05/17/2009,11:00 AM,NY-CLARK-OutdoorEdu,222,Warriors-G10E-Sullivan,723,Clarkstown-G10E-Johnston
7956,3531,G10B,05/17/2009,12:30 PM,NY-CLARK-OutdoorEdu,476,GlenRock-G10B-Lohr,722,Clarkstown-G10B-Bogart
10076,1655,B10BW,05/17/2009,02:00 PM,NY-CLARK-OutdoorEdu,117,WayneBG-B10BW-Minnocci,714,Clarkstown-B10BW-Hodge
7844,3419,G09E,05/17/2009,03:30 PM,NY-CLARK-OutdoorEdu,762,Vikings-G09E-Pavell,721,Clarkstown-G09E-OBrien
9614,3216,G09A,05/17/2009,05:00 PM,NY-CLARK-OutdoorEdu,108,WayneBG-G09A-Slider,720,Clarkstown-G09A-Istorico
9176,4751,G19P,05/17/2009,12:00 AM,TBS(R),576,WayneSC-G19P-Bivona,733,Clarkstown-G19P-Miller
7822,3397,G09E,05/20/2009,05:30 PM,NY-CLARK-KennedyPk3,177,GlenRidge-G09E-Baione,721,Clarkstown-G09E-OBrien
10721,2305,B12P,05/21/2009,06:30 PM,NY-CLARK-KennedyPk2,754,DenofLions-B12P-Velasquez,717,Clarkstown-B12P-OBrien
9681,1257,B09A,05/27/2009,06:00 PM,NY-CLARK-KennedyPk3,358,Lodi-B09A-Alonso,713,Clarkstown-B09A-Rolston
