GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
66391,31965,B15A,03/20/2011,12:00 AM,TEAM DROPPED,3616,Stingrays-B15A-McKenzie,3784,Ironbound-B15A-Tripaldi
69673,34082,B15R,03/26/2011,11:00 AM,NWK-IronbdStadium,830,,4019,Ironbound-B15R-Teixeira
69674,34083,B16R,03/26/2011,01:00 PM,NWK-IronbdStadium,830,,4024,Ironbound-B16R-Soares
69675,34084,B18R,03/26/2011,05:00 PM,NWK-IronbdStadium,830,,4026,Ironbound-B18R-DaRocha
69677,34086,B13R,03/26/2011,01:00 PM,NWK-Riverbank,830,,4021,Ironbound-B13R-Antuness
66223,30753,B10A,03/27/2011,10:00 AM,NWK-IndependencePark,3708,Monroe-Wood-B10A-Lagarde,3582,Ironbound-B10A-Rosamilia
68139,30212,B08A,03/27/2011,12:00 PM,NWK-IndependencePark,3499,Maroons-B08A-LaFrance,3575,Ironbound-B08A-RomeuNeves
66222,30752,B10A,03/27/2011,03:00 PM,NWK-IndependencePark,3583,Ironbound-B10A-JoseNeves,3581,Ironbound-B10A-Vieira
68140,30213,B08A,03/27/2011,04:30 PM,NWK-IndependencePark,3860,DenofLions-B08A-Costa,3577,Ironbound-B08A-Rengifo
69676,34085,B18R,03/27/2011,11:00 AM,NWK-IronbdStadium,830,,4026,Ironbound-B18R-DaRocha
69678,34087,B13R,03/27/2011,03:00 PM,NWK-IronbdStadium,830,,4021,Ironbound-B13R-Antuness
67377,31325,B12A,03/27/2011,09:45 AM,NWK-Riverbank,3723,RYSA-B12A-Kilday,3585,Ironbound-B12A-Fernandes
67345,31293,B11P,03/27/2011,11:30 AM,NWK-Riverbank,3510,Maroons-B11P-Henni,3584,Ironbound-B11P-Gigante
69555,33964,G19D,03/27/2011,06:45 PM,NWK-Riverbank,3655,NoCaldwell-G19D-Grove,3586,Ironbound-G19D-Valencia
69691,34100,B17R,03/30/2011,07:30 PM,NWK-IronbdStadium,830,,4025,Ironbound-B17R-Marques
