GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
15956,1615,B10BB,09/12/2009,02:00 PM,RDGFLDPK-Hobart,1027,Torpedoes-B10BB-Finn,1256,RdgfldPk-B10BB-Jerez
17196,2745,B14C,09/12/2009,03:30 PM,RDGFLDPK-Hobart,1234,Arsenal-B14C-Lazarus,1293,RdgfldPk-B14C-Connors
15415,3763,G11E,09/13/2009,04:00 PM,RDGFLDPK-Hobart,1471,Mahwah-G11E-Silva,1257,RdgfldPk-G11E-Radburn
15983,1642,B10BB,09/26/2009,02:30 PM,RDGFLDPK-Hobart,1493,Verona-B10BB-DeCastro,1256,RdgfldPk-B10BB-Jerez
17205,2754,B14C,09/26/2009,04:00 PM,RDGFLDPK-Hobart,1429,Montclair-B14C-Knight,1293,RdgfldPk-B14C-Connors
15986,1645,B10BB,10/03/2009,02:30 PM,RDGFLDPK-Hobart,1064,WayneSC-B10BB-Carrero,1256,RdgfldPk-B10BB-Jerez
16719,2384,B12E,10/03/2009,04:00 PM,RDGFLDPK-Hobart,1007,Tenafly-B12E-Sanchez,1384,RdgfldPk-B12E-Rehrig
15428,3776,G11E,10/04/2009,04:00 PM,RDGFLDPK-Hobart,986,Warriors-G11E-Sullivan,1257,RdgfldPk-G11E-Radburn
16006,1665,B10BB,10/17/2009,02:00 PM,RDGFLDPK-Hobart,1125,Ironbound-B10BB-Vieira,1256,RdgfldPk-B10BB-Jerez
16724,2389,B12E,10/17/2009,03:30 PM,RDGFLDPK-Hobart,1427,Mahwah-B12E-Tevis,1384,RdgfldPk-B12E-Rehrig
17215,2764,B14C,10/17/2009,05:00 PM,RDGFLDPK-Hobart,1597,RamapoValley-B14C-Wickes,1293,RdgfldPk-B14C-Connors
15970,1629,B10BB,10/24/2009,02:30 PM,RDGFLDPK-Hobart,1542,Montclair-B10BB-Deutsch,1256,RdgfldPk-B10BB-Jerez
16727,2392,B12E,10/24/2009,04:00 PM,RDGFLDPK-Hobart,1461,Rutherford-B12E-Rodriquez,1384,RdgfldPk-B12E-Rehrig
15439,3787,G11E,10/25/2009,03:00 PM,RDGFLDPK-Hobart,1307,RamapoValley-G11E-Martin,1257,RdgfldPk-G11E-Radburn
16730,2395,B12E,10/31/2009,03:00 PM,RDGFLDPK-Hobart,1499,Verona-B12E-Gault,1384,RdgfldPk-B12E-Rehrig
15445,3793,G11E,11/01/2009,03:00 PM,RDGFLDPK-Hobart,1400,Vikings-G11E-Rueda,1257,RdgfldPk-G11E-Radburn
16732,2397,B12E,11/07/2009,03:00 PM,RDGFLDPK-Hobart,1353,NoCaldwell-B12E-Hunter,1384,RdgfldPk-B12E-Rehrig
15449,3797,G11E,11/08/2009,03:00 PM,RDGFLDPK-Hobart,1395,Arsenal-G11E-Fuchs,1257,RdgfldPk-G11E-Radburn
15993,1652,B10BB,11/28/2009,12:00 AM,TBS(L),1140,CougarSC-B10BB-Ryan,1256,RdgfldPk-B10BB-Jerez
