GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
9066,4641,G19CW,03/29/2009,10:30 AM,SPAR-EastbrookMS,811,Dragons-G19CW-Wilson,524,Spartan-G19CW-Philibosian
8363,3938,G12B,03/29/2009,12:30 PM,SPAR-EastbrookMS,173,GlenRidge-G12B-Frohling,246,Spartan-G12B-OConnor
8399,3974,G12C,03/29/2009,02:15 PM,SPAR-EastbrookMS,794,RYSA-G12C-Romaine,249,Spartan-G12C-Magalhaes
8534,4109,G13A,03/31/2009,06:00 PM,SPAR-WestbrkSouth,526,Clifton-G13A-Celestin,247,Spartan-G13A-Salinardi
8368,3943,G12B,04/05/2009,02:00 PM,TBS(H),279,Warriors-G12B-Petersen,246,Spartan-G12B-OConnor
8550,4125,G13A,04/19/2009,10:00 AM,SPAR-EastbrookMS,296,Mahwah-G13A-Jordan,247,Spartan-G13A-Salinardi
8413,3988,G12C,04/19/2009,12:00 PM,SPAR-EastbrookMS,114,WayneBG-G12C-MacMullen,249,Spartan-G12C-Magalhaes
10171,1751,B10D,04/19/2009,12:30 PM,SPAR-WestbrkSmall,384,RiverDell-B10D-Solinas,380,Spartan-B10D-Cortes
8125,3700,G10F,04/19/2009,02:00 PM,SPAR-WestbrkSmall,135,Tenafly-G10F-Newman,381,Spartan-G10F-Salinardi
9404,1098,B08C,04/19/2009,03:30 PM,SPAR-WestbrkSmall,310,RamapoValley-B08C-Greenfield,248,Spartan-B08C-Hegyi
9080,4655,G19CW,04/25/2009,02:00 PM,SPAR-WestbrkSouth,623,Arsenal-G19CW-Lipshultz,524,Spartan-G19CW-Philibosian
10175,1755,B10D,04/26/2009,02:15 PM,SPAR-WestbrkSmall,533,Montclair-B10D-Carlene,380,Spartan-B10D-Cortes
8378,3953,G12B,04/26/2009,12:00 PM,SPAR-WestbrkSouth,444,NoValley-G12B-Gavriilidis,246,Spartan-G12B-OConnor
8561,4136,G13A,05/03/2009,12:00 PM,SPAR-EastbrookMS,620,Arsenal-G13A-Cudequest,247,Spartan-G13A-Salinardi
9090,4665,G19CW,05/03/2009,02:00 PM,SPAR-EastbrookMS,59,Torpedoes-G19CW-Ritter,524,Spartan-G19CW-Philibosian
7576,2807,B16B,05/03/2009,04:00 PM,SPAR-EastbrookMS,250,Tenafly-B16B-Dongaris,462,Spartan-B16B-Geylin
9412,1106,B08C,05/03/2009,03:00 PM,SPAR-WestbrkSmall,41,Torpedoes-B08C-Schaeffer,248,Spartan-B08C-Hegyi
10180,1760,B10D,05/03/2009,04:30 PM,SPAR-WestbrkSmall,17,Ironbound-B10D-Gigante,380,Spartan-B10D-Cortes
8380,3955,G12B,05/03/2009,02:00 PM,SPAR-WestbrkSouth,728,Clarkstown-G12B-Eichele,246,Spartan-G12B-OConnor
8423,3998,G12C,05/03/2009,03:45 PM,SPAR-WestbrkSouth,241,Hoboken-G12C-Battaglia,249,Spartan-G12C-Magalhaes
11210,2798,B16B,05/06/2009,05:30 PM,SPAR-WestbrkSouth,707,Arsenal-B16B-Hammalian,462,Spartan-B16B-Geylin
8426,4001,G12C,05/10/2009,12:15 PM,SPAR-EastbrookMS,20,Bayonnne-G12C-Pereira,249,Spartan-G12C-Magalhaes
7583,2814,B16B,05/10/2009,02:00 PM,SPAR-EastbrookMS,719,Maroons-B16B-Cobb,462,Spartan-B16B-Geylin
9093,4668,G19CW,05/10/2009,04:00 PM,SPAR-EastbrookMS,770,Vikings-G19CW-Singer,524,Spartan-G19CW-Philibosian
10185,1765,B10D,05/10/2009,03:00 PM,SPAR-WestbrkSmall,632,CougarSC-B10D-Thompson,380,Spartan-B10D-Cortes
7584,2815,B16B,05/17/2009,04:00 PM,SPAR-EastbrookMS,758,DenofLions-B16B-Machado,462,Spartan-B16B-Geylin
9422,1116,B08C,05/17/2009,03:00 PM,SPAR-WestbrkSmall,235,Hoboken-B08C-Conlin,248,Spartan-B08C-Hegyi
8140,3715,G10F,05/17/2009,04:30 PM,SPAR-WestbrkSmall,100,Belleville-G10F-Cruz,381,Spartan-G10F-Salinardi
9428,1123,B08C,05/31/2009,02:30 PM,SPAR-WestbrkSmall,281,Warriors-B08C-Wolodkowicz,248,Spartan-B08C-Hegyi
8143,3718,G10F,05/31/2009,04:00 PM,SPAR-WestbrkSmall,329,RamapoValley-G10F-Mayer,381,Spartan-G10F-Salinardi
8581,4156,G13A,06/07/2009,10:00 AM,SPAR-EastbrookMS,225,Hotspur-G13A-Kammerer,247,Spartan-G13A-Salinardi
8147,3722,G10F,06/07/2009,12:30 PM,SPAR-WestbrkSmall,764,Vikings-G10F-Rueda,381,Spartan-G10F-Salinardi
10205,1785,B10D,06/14/2009,04:00 PM,SPAR-WestbrkSmall,422,WoodRidge-B10D-Pepe,380,Spartan-B10D-Cortes
8588,4163,G13A,06/14/2009,06:00 PM,TBS(H),189,Dragons-G13A-Sonntag,247,Spartan-G13A-Salinardi
