GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
69457,33866,G19CB,03/27/2011,12:00 AM,TBS(F),3656,Stingrays-G19CB-Drootin,3965,Ajax-G19CB-Adams
69697,34106,G16R,04/02/2011,12:00 AM,TBS(R),830,,4017,Ajax-G16R-Gleba
68781,33074,G11CW,04/03/2011,01:00 PM,AJAX-Willow,3775,Vikings-G11CW-Vasiloff,3939,Ajax-G11CW-Gonnello
69286,33695,G14CB,04/03/2011,02:45 PM,AJAX-Willow,3437,Tenafly-G14CB-Gelbert,3937,Ajax-G14CB-Motta
69466,33875,G19CB,04/10/2011,03:00 PM,AJAX-HawthorneHS,3656,Stingrays-G19CB-Drootin,3971,Ajax-G19CB-Cruz
66915,31441,B12C,04/10/2011,01:00 PM,AJAX-Willow,3855,Emerson-B12C-Clouse,3988,Ajax-B12C-Brooks
68384,32677,G10B,04/17/2011,12:00 AM,TBS(B),3529,Americans-G10B-Levy,3942,Ajax-G10B-Desiderio
66918,31444,B12C,04/17/2011,12:00 AM,TBS(R),3765,Vikings-B12C-Pialtos,3988,Ajax-B12C-Brooks
69420,33829,G19B,04/27/2011,07:30 PM,AJAX-Willow,3772,FairLawnAllSports-G19B-Wilhelm,3964,Ajax-G19B-Gleba
68852,33145,G12A,04/29/2011,06:30 PM,AJAX-Willow,3308,Torpedoes-G12A-Barrow,3938,Ajax-G12A-Gleba
68794,33087,G11CW,04/30/2011,12:15 PM,AJAX-Willow,3489,Hackensack-G11CW-Wright,3939,Ajax-G11CW-Gonnello
69786,34195,G16R,04/30/2011,02:00 PM,AJAX-Willow,830,,4017,Ajax-G16R-Gleba
69296,33705,G14CB,05/01/2011,01:00 PM,AJAX-HawthorneHS,3904,CougarUtd-G14CB-Savill,3937,Ajax-G14CB-Motta
68392,32685,G10B,05/01/2011,01:00 PM,AJAX-MPHS-Sm,3759,Clarkstown-G10B-Charles,3942,Ajax-G10B-Desiderio
66923,31449,B12C,05/01/2011,01:00 PM,AJAX-Willow,3488,Dumont-B12C-Downing,3988,Ajax-B12C-Brooks
69479,33888,G19CB,05/01/2011,02:45 PM,AJAX-Willow,3613,RamapoValley-G19CB-Karius,3965,Ajax-G19CB-Adams
69485,33894,G19CB,05/08/2011,01:00 PM,AJAX-HawthorneHS,3613,RamapoValley-G19CB-Karius,3971,Ajax-G19CB-Cruz
68861,33154,G12A,05/08/2011,01:00 PM,AJAX-Willow,3905,WayneSC-G12A-Schiavone,3938,Ajax-G12A-Gleba
66928,31454,B12C,05/08/2011,02:45 PM,AJAX-Willow,3892,Nutley-B12C-Geltrude,3988,Ajax-B12C-Brooks
68371,32664,G10B,05/14/2011,10:00 AM,AJAX-MPHS-Sm,3934,Nutley-G10B-DeAngelo,3942,Ajax-G10B-Desiderio
69491,33900,G19CB,05/15/2011,01:00 PM,AJAX-HawthorneHS,3569,RYSA-G19CB-Gilleran,3971,Ajax-G19CB-Cruz
66565,32139,B17C,05/15/2011,03:00 PM,AJAX-HawthorneHS,3666,Lyndhurst-B17C-Faccenda,3972,Ajax-B17C-Harte
68863,33156,G12A,05/15/2011,01:00 PM,AJAX-MPHS-Lg,3857,Emerson-G12A-Bartel,3938,Ajax-G12A-Gleba
69439,33848,G19B,05/15/2011,02:45 PM,AJAX-MPHS-Lg,3665,Lyndhurst-G19B-Carrion,3964,Ajax-G19B-Gleba
68799,33092,G11CW,05/15/2011,01:00 PM,AJAX-Willow,3359,Arsenal-G11CW-Saks,3939,Ajax-G11CW-Gonnello
69494,33903,G19CB,05/15/2011,02:45 PM,AJAX-Willow,3331,Aviators-G19CB-Cascio,3965,Ajax-G19CB-Adams
