GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
30577,8443,G14A,04/11/2010,12:00 AM,TBS(H),1792,Torpedoes-G14A-Lohman,2237,Mahwah-G14A-Madden
30591,8458,G14A,05/02/2010,12:00 AM,F1,2181,WorldClassFC-G14A-Switzer,2237,Mahwah-G14A-Madden
30602,8469,G14A,05/16/2010,12:00 AM,F1,1976,RamapoValley-G14A-Rainford,2237,Mahwah-G14A-Madden
30608,8473,G14A,05/23/2010,12:00 AM,F1,2297,Nutley-G14A-Haddock,2237,Mahwah-G14A-Madden
30617,8482,G14A,06/13/2010,12:00 AM,TBS(V),1849,GlenRock-G14A-Zolper,2237,Mahwah-G14A-Madden
