GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
18418,1556,B10AB,09/12/2009,12:00 AM,F1,1195,Hackensack-B10AB-Battaglia,1403,Montclair-B10AB-Duncan
16410,2072,B11D,09/12/2009,12:00 AM,F1,1311,Dumont-B11D-Downing,1405,Montclair-B11D-Carlene
15153,3641,G11CB,09/13/2009,12:00 AM,TBS(H),947,Monroe-Wood-G11CB-Palanza,1420,Montclair-G11CB-Mieth
15259,4326,G14B,09/13/2009,12:00 AM,TBS(H),1101,GlenRidge-G14B-McAuley,1433,Montclair-G14B-Kent
15313,4380,G14CB,09/13/2009,12:00 AM,TBS(H),1109,Maroons-G14CB-Glover,1434,Montclair-G14CB-Bangs
15373,4440,G14DB,09/13/2009,12:00 AM,TBS(H),914,Hotspur-G14DB-Emmer,1435,Montclair-G14DB-Silver
17793,3347,G10C,09/13/2009,12:00 AM,TBS(H),1090,Maroons-G10C-Devir,1514,Montclair-G10C-Jackson
15519,3867,G12BB,09/13/2009,12:00 AM,TBS(H),1328,Clifton-G12BB-Naseef,1515,Montclair-G12BB-Duckworth
