GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
17068,2616,B13DW,10/03/2009,04:00 PM,HACK-JohnsonPkFULL,1588,Americans-B13DW-Impomeni,1197,Hackensack-B13DW-Macias
17069,2617,B13DW,10/17/2009,04:00 PM,HACK-JohnsonPkFULL,1371,Ironbound-B13DW-Soares,1197,Hackensack-B13DW-Macias
17072,2620,B13DW,10/24/2009,02:30 PM,HACK-JohnsonPkFULL,1081,Maroons-B13DW-Brennan,1197,Hackensack-B13DW-Macias
17079,2627,B13DW,11/07/2009,02:15 PM,HACK-JohnsonPkFULL,1497,Verona-B13DW-Mulderry,1197,Hackensack-B13DW-Macias
17081,2629,B13DW,11/14/2009,02:30 PM,HACK-JohnsonPkFULL,1588,Americans-B13DW-Impomeni,1197,Hackensack-B13DW-Macias
