GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
16781,1000,B08A,09/12/2009,12:00 AM,F1,915,Hotspur-B08A-Illes,968,FtLee-B08A-Guacci
17864,1120,B08CW,09/12/2009,12:00 AM,F1,1181,Vikings-B08CW-Molina,978,FtLee-B08CW-Park
18107,1243,B09A,09/12/2009,12:00 AM,F1,1246,Americans-B09A-Mongelli,969,FtLee-B09A-Holzapfel
18417,1555,B10AB,09/12/2009,12:00 AM,F1,1131,WayneBG-B10AB-Rosen,970,FtLee-B10AB-Keller
16620,2284,B12C,09/12/2009,12:00 AM,TBS(H),1413,Aviators-B12C-Parodi,1451,FtLee-B12C-DiMeglio
17345,2895,G08A,09/13/2009,12:00 AM,F1,1161,Clarkstown-G08A-Katuuo,974,FtLee-G08A-Kern
17123,2671,B14A,09/19/2009,12:00 AM,F1,1336,NJRangers-B14A-Smith,973,FtLee-B14A-Leale
16785,1004,B08A,09/19/2009,12:00 AM,F1,1342,PDA-B08A-Murphy,968,FtLee-B08A-Guacci
18244,1381,B09CB,09/19/2009,12:00 AM,F1,1436,Nutley-B09CB-Grueter,1450,FtLee-B09CB-Finizio
18140,1276,B09A,09/19/2009,12:00 AM,TBS(V),1051,WayneSC-B09A-Adamchak,969,FtLee-B09A-Holzapfel
17799,3353,G10C,09/20/2009,12:00 AM,F1,1464,Rutherford-G10C-Centurion,975,FtLee-G10C-Nitti
17870,1126,B08CW,09/26/2009,12:00 AM,F1,990,Warriors-B08CW-Sauner,978,FtLee-B08CW-Park
18425,1563,B10AB,09/26/2009,12:00 AM,F1,1403,Montclair-B10AB-Duncan,970,FtLee-B10AB-Keller
16789,1008,B08A,09/26/2009,12:00 AM,F1,1382,Clarkstown-B08A-Stahl,968,FtLee-B08A-Guacci
16499,2162,B12A,09/26/2009,12:00 AM,F1,1378,Clarkstown-B12A-Torres,972,FtLee-B12A-Marin
15409,4476,G14DW,09/27/2009,12:00 AM,F1,872,FairLawnAllSports-G14DW-Mayer,977,FtLee-G14DW-McKenna
15713,4011,G12DW,09/27/2009,12:00 AM,F1,961,Bayonnne-G12DW-Pereira,976,FtLee-G12DW-Yee
17351,2901,G08A,09/27/2009,12:00 AM,F1,1084,Maroons-G08A-Marr,974,FtLee-G08A-Kern
16631,2295,B12C,10/03/2009,12:00 AM,F1,864,RiverDell-B12C-Angione,1451,FtLee-B12C-DiMeglio
16503,2166,B12A,10/03/2009,12:00 AM,F1,1228,Arsenal-B12A-McManus,972,FtLee-B12A-Marin
16472,2135,B11P,10/03/2009,12:00 AM,F1,1448,RdgfldRoyalStrikers-B11P-Mataras,971,FtLee-B11P-Keller
18420,1558,B10AB,10/03/2009,12:00 AM,F1,1345,PDA-B10AB-Murphy,970,FtLee-B10AB-Keller
17873,1129,B08CW,10/03/2009,12:00 AM,F1,887,RiverDell-B08CW-Breslin,978,FtLee-B08CW-Park
18132,1268,B09A,10/03/2009,12:00 AM,F1,1343,PDA-B09A-Murphy,969,FtLee-B09A-Holzapfel
15717,4015,G12DW,10/04/2009,12:00 AM,F1,1459,Aviators-G12DW-Schwartz,976,FtLee-G12DW-Yee
15653,4481,G14DW,10/04/2009,12:00 AM,F1,1288,Belleville-G14DW-Hood,977,FtLee-G14DW-McKenna
16474,2137,B11P,10/17/2009,12:00 AM,F1,1227,Arsenal-B11P-Weis,971,FtLee-B11P-Keller
