GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
16410,2072,B11D,09/12/2009,12:00 AM,F1,1311,Dumont-B11D-Downing,1405,Montclair-B11D-Carlene
18418,1556,B10AB,09/12/2009,12:00 AM,F1,1195,Hackensack-B10AB-Battaglia,1403,Montclair-B10AB-Duncan
17793,3347,G10C,09/13/2009,12:00 AM,TBS(H),1090,Maroons-G10C-Devir,1514,Montclair-G10C-Jackson
15153,3641,G11CB,09/13/2009,12:00 AM,TBS(H),947,Monroe-Wood-G11CB-Palanza,1420,Montclair-G11CB-Mieth
15259,4326,G14B,09/13/2009,12:00 AM,TBS(H),1101,GlenRidge-G14B-McAuley,1433,Montclair-G14B-Kent
15313,4380,G14CB,09/13/2009,12:00 AM,TBS(H),1109,Maroons-G14CB-Glover,1434,Montclair-G14CB-Bangs
15373,4440,G14DB,09/13/2009,12:00 AM,TBS(H),914,Hotspur-G14DB-Emmer,1435,Montclair-G14DB-Silver
15519,3867,G12BB,09/13/2009,12:00 AM,TBS(H),1328,Clifton-G12BB-Naseef,1515,Montclair-G12BB-Duckworth
16674,2339,B12D,09/19/2009,12:00 AM,F1,1166,Leonia-B12D-Marquardt,1544,Montclair-B12D-Bollinger
16925,2472,B13BB,09/19/2009,12:00 AM,F1,1380,Clarkstown-B13BB-Green,1416,Montclair-B13BB-Sands
17200,2749,B14C,09/19/2009,12:00 AM,F1,1083,Maroons-B14C-Orlando,1429,Montclair-B14C-Knight
15964,1623,B10BB,09/19/2009,12:00 AM,TBS(H),1346,PDA-B10BB-Murphy,1542,Montclair-B10BB-Deutsch
16068,1728,B10CB,09/19/2009,12:00 AM,TBS(H),1147,Lyndhurst-B10CB-DiTonto,1404,Montclair-B10CB-YahrRader
18428,1566,B10AB,09/19/2009,12:00 AM,TBS(H),1345,PDA-B10AB-Murphy,1403,Montclair-B10AB-Duncan
17701,3254,G10A,09/20/2009,12:00 AM,F1,1305,RamapoValley-G10A-Cruz,1418,Montclair-G10A-VanSiclen
15742,4040,G13A,09/20/2009,12:00 AM,F1,867,RiverDell-G13A-Williams,1430,Montclair-G13A-Moore
15019,3726,G11D,09/20/2009,12:00 AM,F1,1388,Mahwah-G11D-Burns,1421,Montclair-G11D-Villella
16073,1733,B10CB,09/26/2009,12:00 AM,F1,1366,Aviators-B10CB-Terreri,1404,Montclair-B10CB-YahrRader
16305,1967,B11BW,09/26/2009,12:00 AM,F1,1110,Maroons-B11BW-Edwards,1410,Montclair-B11BW-Obaditch
17322,2872,B14P,09/26/2009,12:00 AM,TBS(V),1260,Stingrays-B14P-McKenzie,1417,Montclair-B14P-RodriguezVars
15319,4386,G14CB,09/27/2009,12:00 AM,F1,1019,NoCaldwell-G14CB-Kluger,1434,Montclair-G14CB-Bangs
15749,4047,G13A,09/27/2009,12:00 AM,F1,1046,Torpedoes-G13A-Caldwell,1430,Montclair-G13A-Moore
15910,4208,G13D,09/27/2009,12:00 AM,F1,868,RiverDell-G13D-Klepper,1470,Montclair-G13D-David
15525,3873,G12BB,09/27/2009,12:00 AM,F1,1465,Rutherford-G12BB-Way,1515,Montclair-G12BB-Duckworth
15380,4447,G14DB,09/27/2009,12:00 AM,TBS(V),1178,Vikings-G14DB-Eftychiou,1435,Montclair-G14DB-Silver
16308,1970,B11BW,10/03/2009,12:00 AM,F1,879,Thistle-B11BW-Munro,1410,Montclair-B11BW-Obaditch
16425,2088,B11D,10/03/2009,12:00 AM,F1,1409,Bergenfield-B11D-Yarangano,1405,Montclair-B11D-Carlene
16685,2350,B12D,10/03/2009,12:00 AM,F1,1564,Lodi-B12D-Alonso,1544,Montclair-B12D-Bollinger
16501,2164,B12A,10/03/2009,12:00 AM,F1,1006,Tenafly-B12A-Kraft,1411,Montclair-B12A-Emily
15277,4344,G14B,10/04/2009,12:00 AM,F1,1562,Ajax-G14B-Cruz,1433,Montclair-G14B-Kent
17709,3262,G10A,10/04/2009,12:00 AM,F1,1236,Arsenal-G10A-Kelly,1418,Montclair-G10A-VanSiclen
17806,3360,G10C,10/04/2009,12:00 AM,F1,928,GlenRock-G10C-Rundle,1514,Montclair-G10C-Jackson
18431,1569,B10AB,10/17/2009,12:00 AM,F1,1512,WayneSC-B10AB-Phili,1403,Montclair-B10AB-Duncan
